sample_id,id,base_word,pos_pair,affix
1,1,Meccan,ADJ:V,-ize
1,2,double,N:ADV,-ly
1,3,loud,ADJ:ADV,a-
1,4,thwart,V:ADJ,-some
1,5,telling,U:N,-ness
1,6,blog,U:V,re-
1,7,caudal,ADJ:ADJ,postero-
1,8,lose,N:V,-ing
1,9,lobule,N:N,-ation
1,10,Rumelia,N:ADJ,-an
1,11,cognize,V:U,re-
1,12,Jordanianize,V:N,-ation
1,13,weal,U:ADJ,-ful
1,14,cellular,ADJ:ADJ,super-
1,15,rubber band,N:N,-ing
1,16,wail,U:V,be-
1,17,suave,ADJ:V,-ify
1,18,observing,V:ADV,-ly
1,19,cut,V:V,re-
1,20,stiffen,V:V,re-
1,21,pallid,ADJ:V,in-
1,22,maintain,V:V,under-
1,23,ether,N:N,tetra-
1,24,dreadful,ADV:N,-ness
1,25,cankered,U:ADV,-ly
1,26,military,N:ADV,-ly
1,27,calorific,ADJ:ADJ,non-
1,28,fright,U:V,be-
1,29,percent,ADV:ADJ,-wise
1,30,truth,N:ADV,-wards
1,31,aggrieved,ADJ:N,-ness
1,32,irreprehensible,ADJ:U,-ly
1,33,belittling,V:ADV,-ly
1,34,ketotic,ADJ:ADJ,hypo-
1,35,thermal,ADJ:N,-ization
1,36,telling,U:ADV,-ly
1,37,membranously,ADV:ADV,intra-
1,38,out,ADV:ADJ,-er
1,39,sympathising,V:ADV,-ly
1,40,aortally,ADV:ADV,intra-
1,41,chiding,V:ADV,-ly
1,42,much,ADV:N,-ness
1,43,Georgian,U:N,-ization
1,44,who,N:U,-'ve
1,45,estrous,ADJ:ADJ,poly-
1,46,awk,U:ADV,-ly
1,47,topsy-turvy,ADV:N,-ness
1,48,whereabout,ADV:U,-s
1,49,fuck,ADV:V,be-
1,50,sagging,N:ADV,-ly
1,51,data,U:V,-fy
1,52,stipulate,V:ADJ,-ed
1,53,again,ADV:U,-st
1,54,bisynchronous,ADJ:ADV,-ly
1,55,several,ADJ:V,-ize
1,56,ozone,N:U,-ize
1,57,purposesubpurpose,U:U,sub-
1,58,agonising,V:ADV,-ly
1,59,hourly,ADV:ADJ,semi-
1,60,tackify,V:N,-er
1,61,like,ADV:V,un-
1,62,facile,ADJ:ADV,-ly
1,63,suitable,ADJ:U,-ly
1,64,invasion,N:ADJ,-al
1,65,Moorcock,N:U,-ian
1,66,swear,V:V,fore-
1,67,8,V:U,V-
1,68,magmatichydromagmatic,U:U,hydro-
1,69,fib,U:N,-er
1,70,proteolytically,ADV:ADV,anti-
1,71,ratable,ADJ:U,-ly
1,72,curveepicurve,U:U,epi-
1,73,outbound,ADJ:U,-s
1,74,get,V:U,-cha
1,75,shingle,U:ADJ,-y
1,76,well,ADV:ADJ,un-
1,77,blossom,N:V,em-
1,78,belated,ADJ:N,-ness
1,79,umbestound,ADV:U,-s
1,80,metastatic,ADJ:N,-ity
1,81,down,ADV:ADJ,-y
1,82,replicatively,ADV:ADV,post-
1,83,-o-,U:U,homœ-
1,84,hourly,ADV:ADJ,bi-
1,85,bone,U:V,de-
1,86,dependencestereodependence,U:U,stereo-
1,87,located,V:V,pre-
1,88,astronomy,N:N,ethno-
1,89,marginal,ADJ:V,-ize
1,90,love,V:ADV,-ly
1,91,spam,N:ADJ,-y
1,92,their,ADV:U,-s
1,93,rehypothecate,V:U,-able
1,94,fluidized,V:ADJ,non-
1,95,fell,ADV:N,-ness
1,96,ow,U:N,-ie
1,97,humanize,U:N,-er
1,98,shiftless,ADJ:ADV,-ly
1,99,faced,U:ADV,-ly
1,100,survival,N:ADJ,pro-
1,101,geographical,ADJ:ADJ,morpho-
1,102,underpull,V:N,-er
1,103,nuptial,ADJ:U,-s
1,104,fuck,ADV:V,mis-
1,105,congratulate,V:N,-ion
1,106,pan,N:ADJ,-like
1,107,just,ADV:V,-ify
1,108,locate,V:N,-ee
1,109,chromatographic,ADJ:ADV,-ally
1,110,shed,U:N,counter-
1,111,blob,U:ADJ,-y
1,112,mainstream,ADJ:V,-ing
1,113,parabola,N:N,-oid
1,114,somewhile,ADV:U,-s
1,115,several,U:ADV,-ly
1,116,chippy,N:ADV,-ly
1,117,offensive,N:ADV,-ly
1,118,blame,N:V,-est
1,119,whither,ADV:U,-ever
1,120,scarp,N:U,anti-
1,121,carbocyclic,ADJ:U,-vir
1,122,oops,N:U,-ie
1,123,scathe,U:ADJ,-less
1,124,resolve,V:V,-est
1,125,eat,V:U,-en
1,126,unproper,ADJ:ADV,-ly
1,127,militarily,ADV:ADV,non-
1,128,fuck,ADV:N,-ness
1,129,address,N:V,-ing
1,130,core,U:ADJ,hexa-
1,131,chic,U:ADV,-ly
1,132,shade,U:V,un-
1,133,flash,V:ADJ,anti-
1,134,stent,U:ADJ,post-
1,135,specifically,ADV:ADV,hetero-
1,136,patron,N:V,en-
1,137,Alaskan,ADJ:N,-ization
1,138,geolocate,V:N,-or
1,139,belief,N:ADJ,-like
1,140,base,N:V,em-
1,141,bathed,V:ADJ,un-
1,142,conception,N:U,non-
1,143,street,N:N,out-
1,144,exclusive,ADJ:N,-ness
1,145,celebrate,V:U,over-
1,146,irregularstereoirregular,U:U,stereo-
1,147,fuck,ADV:N,-wad
1,148,parse,V:ADJ,-able
2,1,irrecognizable,ADJ:U,-ly
2,2,sextuple,N:ADV,-ly
2,3,souse,U:ADJ,-ed
2,4,floundering,V:ADV,-ly
2,5,their,ADV:U,-self
2,6,justifiably,ADV:ADV,un-
2,7,corrupting,V:ADV,-ly
2,8,melanism,N:N,eu-
2,9,outseek,V:U,-ing
2,10,fuck,ADV:U,-ity
2,11,orphan,ADJ:N,-age
2,12,like,ADV:V,un-
2,13,sent,ADV:ADJ,un-
2,14,bioenvironmental,ADJ:ADV,-ly
2,15,central,ADJ:V,-ise
2,16,weekly,ADV:ADJ,bi-
2,17,papish,N:ADV,-ly
2,18,tolerantly,ADV:ADV,in-
2,19,mongamong,U:U,a-
2,20,print,V:V,re-
2,21,elytrotomy,N:N,gastro-
2,22,write,V:N,-in
2,23,cultured,ADJ:ADJ,over-
2,24,cortically,ADV:ADV,pre-
2,25,steel,U:V,un-
2,26,build,V:V,mis-
2,27,belladine,N:N,nor-
