sample_id,id,lemma
1,1,autoethnographical
1,2,pacifiable
1,3,dysstasia
1,4,vag
1,5,hyperfullerene
1,6,genostress
1,7,unvizard
1,8,ltw
1,9,compensate
1,10,intrust
1,11,xiangsheng
1,12,cicerone
1,13,eructate
1,14,blowess
1,15,zoöchemistry
1,16,abusua
1,17,polynomiograph
1,18,soccerer
1,19,jaup
1,20,adonise
1,21,parentify
1,22,laterope
1,23,lactonic
1,24,splatch
1,25,anisotomous
1,26,chondroplastic
1,27,model
1,28,commemoratory
1,29,trancey
1,30,minelike
1,31,cyber-dissident
1,32,postmythical
1,33,wasband
1,34,wonderful
1,35,hippocrepiform
1,36,actionize
1,37,engine
1,38,androgynize
1,39,proamniotic
1,40,underfished
1,41,jacklight
1,42,backtranslate
1,43,prelive
1,44,canthellus
1,45,construct
1,46,heterocyclyl
1,47,handicamp
1,48,overbake
1,49,niddipoll
1,50,unheard of
1,51,minijack
1,52,canyonlike
1,53,roquefortine
1,54,mazocraeid
1,55,topbill
1,56,grunt
1,57,chicken
1,58,injunctional
1,59,Paleoproterozoic
1,60,tretinoin
1,61,whop
1,62,subsidise
1,63,burnettize
1,64,separate
1,65,hospitate
1,66,nonleukoreduced
1,67,multiradicate
1,68,agoggled
1,69,predecease
1,70,surveil
1,71,whiffle
1,72,creativeness
1,73,petaloid
1,74,eukaryophilic
1,75,supracultural
1,76,preboom
1,77,fibster
1,78,postspiracular
1,79,billow
1,80,boothaling
1,81,anele
1,82,commingle
1,83,ungrab
1,84,tsk
1,85,varifocal
1,86,ethnobotanical
1,87,appose
1,88,counterdrain
1,89,blood-letting
1,90,backchannel
1,91,unsatiating
1,92,kitty
1,93,subtour
1,94,brekekekex
1,95,multiprotocol
1,96,pimelodid
1,97,dewy-eyed
1,98,paraflutizide
1,99,infield
1,100,precrafted
1,101,printlike
1,102,nontangling
1,103,pulpal
1,104,acepromazine
1,105,motel
1,106,nonmandatory
1,107,broadpiece
1,108,electroacupuncture
1,109,opalesce
1,110,postsegregational
1,111,neltenexine
1,112,cofeature
1,113,destitute
1,114,parametrize
1,115,nonscrotal
1,116,breadboard
1,117,nonfallout
1,118,bumbling
1,119,impermeant
1,120,mizzle
1,121,arthroplast
1,122,declutter
1,123,mendigo
1,124,decatenate
1,125,nongenius
1,126,standby
1,127,betassel
1,128,sciss
1,129,microparasite
1,130,superclustering
1,131,rakemaker
1,132,bromochlorofluoromethane
1,133,hypersulfated
1,134,unconsecutive
1,135,paraconformable
1,136,pairwise
1,137,antimicrobe
1,138,gally-crow
1,139,phlogotic
1,140,declinate
1,141,hayless
1,142,bemete
1,143,unhide
1,144,all-a-mort
1,145,launderess
1,146,empty-headed
1,147,teleportitis
1,148,climber
1,149,thimbleweed
1,150,yelm
2,1,crossover
2,2,battle-ax
2,3,tribune
2,4,undisposed
2,5,gunfight
2,6,forguilt
2,7,blundersome
2,8,foreboding
2,9,exoergic
2,10,postvitellogenic
2,11,liporegulatory
2,12,apiaceous
2,13,interprogeny
2,14,bamfoozle
2,15,unphilosophize
2,16,soul-crushing
2,17,unbroiled
2,18,underspun
2,19,screel
2,20,radiocesium
2,21,vinylarginine
2,22,lagoon
2,23,unmorality
2,24,clericity
2,25,mintmark
2,26,nominal
2,27,craniometaphyseal
2,28,renate
2,29,entertake
2,30,isoenzyme
2,31,pseudodominant
2,32,inlay
2,33,gene
2,34,bounded
2,35,glom
2,36,jiboya
2,37,perciform
2,38,aliphatic
2,39,grannyish
2,40,well-informed
2,41,somatotype
2,42,sororize
2,43,recreate
2,44,rhinotermitid
2,45,pedagog
2,46,caprify
2,47,recombining
2,48,enlighten
2,49,tetradont
2,50,aciculite
2,51,tutoyer
2,52,provocate
2,53,riboviral
2,54,nitrilate
2,55,surfboard
2,56,overaged
2,57,subirrigate
2,58,stapling
2,59,ventriloquial
2,60,trypanosusceptible
2,61,miswend
2,62,minoxidil
2,63,inflectable
2,64,travunioid
2,65,disrate
2,66,gamesomeness
2,67,anat.
2,68,respec
2,69,skimmable
2,70,esophagostomy
2,71,organoytterbium
2,72,quadratocranial
2,73,howl
2,74,scientise
2,75,page
2,76,praetexta
2,77,methanolysate
2,78,tutorize
2,79,multiflighted
2,80,lipogranuloma
2,81,stepless
2,82,initial
2,83,antinoise
2,84,peepy
2,85,accreditated
2,86,reagree
