sample_id,id,inflected_form,tag
1,1,autoethnographical,ADJ
1,2,pacifiable,ADJ
1,3,dysstasia,N;SG
1,4,vag,V;NFIN;IMP+SBJV
1,5,hyperfullerenes,N;PL
1,6,genostress,N;SG
1,7,unvizard,V;NFIN;IMP+SBJV
1,8,ltw,ADJ
1,9,compensated,V;V.PTCP;PST
1,10,intrust,V;NFIN;IMP+SBJV
1,11,xiangsheng,N;SG
1,12,cicerone,V;NFIN;IMP+SBJV
1,13,eructating,V;V.PTCP;PRS
1,14,blowess,N;SG
1,15,zoöchemistry,N;SG
1,16,abusua,N;SG
1,17,polynomiographs,N;PL
1,18,soccerers,N;PL
1,19,jaup,V;NFIN;IMP+SBJV
1,20,adonising,V;V.PTCP;PRS
1,21,parentify,V;NFIN;IMP+SBJV
1,22,lateropes,N;PL
1,23,lactonic,ADJ
1,24,splatching,V;V.PTCP;PRS
1,25,anisotomous,ADJ
1,26,chondroplastic,ADJ
1,27,modelling,V;V.PTCP;PRS
1,28,commemoratory,ADJ
1,29,trancey,ADJ
1,30,minelike,ADJ
1,31,cyber-dissident,N;SG
1,32,postmythical,ADJ
1,33,wasbands,N;PL
1,34,wonderful,ADJ
1,35,hippocrepiform,ADJ
1,36,actionized,V;PST
1,37,engine,N;SG
1,38,androgynize,V;NFIN;IMP+SBJV
1,39,proamniotic,ADJ
1,40,underfished,ADJ
1,41,jacklights,N;PL
1,42,backtranslating,V;V.PTCP;PRS
1,43,prelived,V;PST
1,44,canthellus,N;SG
1,45,constructs,V;PRS;3;SG
1,46,heterocyclyl,N;SG
1,47,handicamp,N;SG
1,48,overbakes,V;PRS;3;SG
1,49,niddipoll,ADJ
1,50,unheard of,ADJ
1,51,minijacks,N;PL
1,52,canyonlike,ADJ
1,53,roquefortine,N;SG
1,54,mazocraeid,N;SG
1,55,topbill,V;NFIN;IMP+SBJV
1,56,grunting,V;V.PTCP;PRS
1,57,chicken,V;NFIN;IMP+SBJV
1,58,injunctional,ADJ
1,59,Paleoproterozoic,ADJ
1,60,tretinoin,N;SG
1,61,whops,V;PRS;3;SG
1,62,subsidises,V;PRS;3;SG
1,63,burnettized,V;PST
1,64,separate,ADJ
1,65,hospitating,V;V.PTCP;PRS
1,66,nonleukoreduced,ADJ
1,67,multiradicate,ADJ
1,68,agoggled,ADJ
1,69,predecease,V;NFIN;IMP+SBJV
1,70,surveil,V;NFIN;IMP+SBJV
1,71,whiffle,V;NFIN;IMP+SBJV
1,72,creativeness,N;SG
1,73,petaloid,ADJ
1,74,eukaryophilic,ADJ
1,75,supracultural,ADJ
1,76,preboom,ADJ
1,77,fibster,N;SG
1,78,postspiracular,ADJ
1,79,billows,N;PL
1,80,boothaling,N;SG
1,81,aneles,V;PRS;3;SG
1,82,commingle,V;NFIN;IMP+SBJV
1,83,ungrabbed,V;PST
1,84,tsk,V;NFIN;IMP+SBJV
1,85,varifocal,ADJ
1,86,ethnobotanical,N;SG
1,87,apposing,V;V.PTCP;PRS
1,88,counterdrain,N;SG
1,89,blood-letting,N;SG
1,90,backchannel,V;NFIN;IMP+SBJV
1,91,unsatiating,ADJ
1,92,kitties,N;PL
1,93,subtours,N;PL
1,94,brekekekexes,V;PRS;3;SG
1,95,multiprotocol,ADJ
1,96,pimelodids,N;PL
1,97,dewy-eyed,ADJ
1,98,paraflutizide,N;SG
1,99,infielded,V;V.PTCP;PST
1,100,precrafted,ADJ
1,101,printlike,ADJ
1,102,nontangling,ADJ
1,103,pulpal,ADJ
1,104,acepromazine,N;SG
1,105,motel,N;SG
1,106,nonmandatory,ADJ
1,107,broadpiece,N;SG
1,108,electroacupuncturing,V;V.PTCP;PRS
1,109,opalesce,V;NFIN;IMP+SBJV
1,110,postsegregational,ADJ
1,111,neltenexine,N;SG
1,112,cofeatured,V;PST
1,113,destitutes,V;PRS;3;SG
1,114,parametrized,V;PST
1,115,nonscrotal,ADJ
1,116,breadboard,N;SG
1,117,nonfallout,ADJ
1,118,bumbling,N;SG
1,119,impermeant,ADJ
1,120,mizzling,V;V.PTCP;PRS
1,121,arthroplast,N;SG
1,122,declutter,V;NFIN;IMP+SBJV
1,123,mendigos,N;PL
1,124,decatenates,V;PRS;3;SG
1,125,nongenius,N;SG
1,126,standby,N;SG
1,127,betasselled,V;V.PTCP;PST
1,128,scissed,V;V.PTCP;PST
1,129,microparasites,N;PL
1,130,superclusterings,N;PL
1,131,rakemaker,N;SG
1,132,bromochlorofluoromethane,N;SG
1,133,hypersulfated,ADJ
1,134,unconsecutive,ADJ
1,135,paraconformable,ADJ
1,136,pairwise,ADJ
1,137,antimicrobe,ADJ
1,138,gally-crow,N;SG
1,139,phlogotic,ADJ
1,140,declinated,V;PST
1,141,hayless,ADJ
1,142,bemeted,V;V.PTCP;PST
1,143,unhide,V;NFIN;IMP+SBJV
1,144,all-a-mort,ADJ
1,145,launderess,N;SG
1,146,empty-headed,ADJ
1,147,teleportitis,N;SG
1,148,climber,V;NFIN;IMP+SBJV
1,149,thimbleweed,N;SG
1,150,yelming,V;V.PTCP;PRS
2,1,crossover,N;SG
2,2,battle-ax,N;SG
2,3,tribune,N;SG
2,4,undisposed,ADJ
2,5,gunfought,V;PST
2,6,forguilt,V;NFIN;IMP+SBJV
2,7,blundersome,ADJ
2,8,foreboding,ADJ
2,9,exoergic,ADJ
2,10,postvitellogenic,ADJ
2,11,liporegulatory,ADJ
2,12,apiaceous,ADJ
2,13,interprogeny,ADJ
2,14,bamfoozled,V;PST
2,15,unphilosophize,V;NFIN;IMP+SBJV
2,16,soul-crushing,ADJ
2,17,unbroiled,ADJ
2,18,underspun,ADJ
2,19,screel,V;NFIN;IMP+SBJV
2,20,radiocesium,N;SG
2,21,vinylarginine,N;SG
2,22,lagoon,N;SG
2,23,unmorality,N;SG
2,24,clericity,N;SG
2,25,mintmarks,N;PL
2,26,nominal,ADJ
2,27,craniometaphyseal,ADJ
2,28,renating,V;V.PTCP;PRS
2,29,entertaken,V;V.PTCP;PST
2,30,isoenzymes,N;PL
2,31,pseudodominant,ADJ
2,32,inlaid,V;PST
2,33,gene,N;SG
2,34,bounded,ADJ
2,35,glom,V;NFIN;IMP+SBJV
2,36,jiboya,N;SG
2,37,perciform,ADJ
2,38,aliphatics,N;PL
2,39,grannyish,ADJ
2,40,well-informed,ADJ
2,41,somatotyping,V;V.PTCP;PRS
2,42,sororized,V;V.PTCP;PST
2,43,recreates,V;PRS;3;SG
2,44,rhinotermitid,N;SG
2,45,pedagoged,V;V.PTCP;PST
2,46,caprifying,V;V.PTCP;PRS
2,47,recombining,ADJ
2,48,enlighten,V;NFIN;IMP+SBJV
2,49,tetradont,N;SG
2,50,aciculite,N;SG
2,51,tutoyer,V;NFIN;IMP+SBJV
2,52,provocating,V;V.PTCP;PRS
2,53,riboviral,ADJ
2,54,nitrilates,V;PRS;3;SG
2,55,surfboarded,V;V.PTCP;PST
2,56,overaged,ADJ
2,57,subirrigating,V;V.PTCP;PRS
2,58,stapling,N;SG
2,59,ventriloquial,ADJ
2,60,trypanosusceptible,ADJ
2,61,miswend,V;NFIN;IMP+SBJV
2,62,minoxidil,N;SG
2,63,inflectable,ADJ
2,64,travunioids,N;PL
2,65,disrated,V;PST
2,66,gamesomeness,N;SG
2,67,anat.,ADJ
2,68,respecced,V;PST
2,69,skimmable,ADJ
2,70,esophagostomy,N;SG
2,71,organoytterbium,ADJ
2,72,quadratocranial,ADJ
2,73,howls,N;PL
2,74,scientising,V;V.PTCP;PRS
2,75,page,V;NFIN;IMP+SBJV
2,76,praetexta,N;SG
2,77,methanolysate,N;SG
2,78,tutorize,V;NFIN;IMP+SBJV
2,79,multiflighted,ADJ
2,80,lipogranulomas,N;PL
2,81,stepless,ADJ
2,82,initialed,V;PST
2,83,antinoise,N;SG
2,84,peepy,ADJ
2,85,accreditated,ADJ
2,86,reagreed,V;V.PTCP;PST
2,87,neurosemantic,ADJ
2,88,thysanopterous,ADJ
2,89,tract,V;NFIN;IMP+SBJV
2,90,polypeptidase,N;SG
2,91,dinq,ADJ
2,92,underexposed,V;V.PTCP;PST
2,93,amidomethyl,N;SG
2,94,nonnotarized,ADJ
2,95,quinalphos,N;SG
2,96,trists,V;PRS;3;SG
2,97,topdressing,V;V.PTCP;PRS
2,98,agnamed,ADJ
2,99,lases,V;PRS;3;SG
2,100,carbamoylate,V;NFIN;IMP+SBJV
2,101,startable,ADJ
2,102,thwartened,ADJ
2,103,fondling,V;V.PTCP;PRS
2,104,bafetinib,N;SG
2,105,glucosidase,N;SG
2,106,overpronate,V;NFIN;IMP+SBJV
2,107,noncontroversial,ADJ
2,108,freelances,V;PRS;3;SG
2,109,acclamated,V;V.PTCP;PST
2,110,rigorised,V;PST
2,111,hogged,V;PST
2,112,discocellulars,N;PL
2,113,reassault,V;NFIN;IMP+SBJV
2,114,enrolling,V;V.PTCP;PRS
2,115,patellins,N;PL
2,116,workhour,N;SG
2,117,redundantant,ADJ
2,118,discorporates,V;PRS;3;SG
2,119,peachen,ADJ
2,120,rotablators,N;PL
2,121,mileposted,V;PST
2,122,dichlorvos,N;SG
2,123,climbed,V;V.PTCP;PST
2,124,hypogelsolinemia,N;SG
2,125,microaspirated,ADJ
2,126,diluviated,V;PST
2,127,polychloride,N;SG
2,128,inattentionally blind,ADJ
2,129,diethylenediamine,N;SG
2,130,gay friendly,ADJ
2,131,bromoxynil,N;SG
2,132,isaeids,N;PL
2,133,multi-word,ADJ
2,134,superinformation,N;SG
2,135,mengenillids,N;PL
2,136,oggins,N;PL
2,137,unshot,V;NFIN;IMP+SBJV
2,138,disect,N;SG
2,139,synflooding,V;V.PTCP;PRS
2,140,sinistrocular,ADJ
2,141,ratebuster,N;SG
2,142,misdifferentiated,V;PST
2,143,caliginosity,N;SG
2,144,squirreldom,N;SG
2,145,diner,N;SG
2,146,sister,V;NFIN;IMP+SBJV
2,147,stentless,ADJ
2,148,authorish,ADJ
2,149,boarders,N;PL
2,150,nonindicative,ADJ
3,1,corncobbed,V;V.PTCP;PST
3,2,singlefoot,V;NFIN;IMP+SBJV
3,3,homopiperazine,N;SG
3,4,Bozal,ADJ
3,5,intrabursal,ADJ
3,6,potentional,N;SG
3,7,pubier,ADJ;CMPR
3,8,copresident,N;SG
3,9,Ashberian,ADJ
3,10,percussed,V;PST
3,11,porcupette,N;SG
3,12,growsing,V;V.PTCP;PRS
3,13,mosstrooper,N;SG
3,14,flidging,V;V.PTCP;PRS
3,15,pseudouridylated,V;V.PTCP;PST
3,16,counterspell,V;NFIN;IMP+SBJV
3,17,verlan,N;SG
3,18,hyperlactacidemia,N;SG
3,19,portamentoed,ADJ
3,20,somnambulised,V;V.PTCP;PST
3,21,proselyte,V;NFIN;IMP+SBJV
3,22,oculomandibulofacial,ADJ
3,23,Czechish,ADJ
3,24,systemises,V;PRS;3;SG
3,25,utilizable,ADJ
3,26,bideficiency,N;SG
3,27,postdive,ADJ
3,28,slushpiles,N;PL
3,29,stannation,N;SG
3,30,handbagged,V;V.PTCP;PST
3,31,huzoor,N;SG
3,32,oxocrinol,N;SG
3,33,pote,V;NFIN;IMP+SBJV
3,34,enhaloing,V;V.PTCP;PRS
3,35,fluorophenylalanines,N;PL
3,36,pyocyanic,ADJ
3,37,hot-tempered,ADJ
3,38,interfoveal,ADJ
3,39,toxifying,V;V.PTCP;PRS
3,40,technocratic,ADJ
3,41,sidelined,V;V.PTCP;PST
3,42,underbuilt,V;V.PTCP;PST
3,43,bringer,N;SG
3,44,polycellulosomal,ADJ
3,45,micropipette,V;NFIN;IMP+SBJV
3,46,Jungian,ADJ
3,47,slewing,V;V.PTCP;PRS
3,48,strafing,V;V.PTCP;PRS
3,49,precoat,V;NFIN;IMP+SBJV
3,50,wuff,N;SG
3,51,misprises,V;PRS;3;SG
3,52,parapelvic,ADJ
3,53,etiotropic,ADJ
3,54,duffs,V;PRS;3;SG
3,55,unfaded,ADJ
3,56,civet,N;SG
3,57,jaculate,V;NFIN;IMP+SBJV
3,58,frumpled,V;PST
3,59,multiclause,ADJ
3,60,johnsons,N;PL
3,61,urocanic,ADJ
3,62,unrenowned,ADJ
3,63,infix,V;NFIN;IMP+SBJV
3,64,bottlescrew,N;SG
3,65,interpunct,N;SG
3,66,kyoodled,V;V.PTCP;PST
3,67,mailshots,V;PRS;3;SG
3,68,unchokes,V;PRS;3;SG
3,69,gradientless,ADJ
3,70,devalued,V;V.PTCP;PST
3,71,dirt poor,ADJ
3,72,xenicas,N;PL
3,73,crystallisable,ADJ
3,74,cytobiotic,ADJ
3,75,antimelanoma,ADJ
3,76,eulittoral,ADJ
3,77,rich,V;NFIN;IMP+SBJV
3,78,bewitched,V;PST
3,79,forearm,V;NFIN;IMP+SBJV
3,80,reexchange,V;NFIN;IMP+SBJV
3,81,fantasticate,V;NFIN;IMP+SBJV
3,82,vegies,N;PL
3,83,precatatonic,ADJ
3,84,thometzekite,N;SG
3,85,presenescent,ADJ
3,86,bacillaemia,N;SG
3,87,photoacceptors,N;PL
3,88,marblefish,N;SG
3,89,tebibyte,N;SG
3,90,silylated,V;PST
3,91,filamentoid,ADJ
3,92,multifragment,ADJ
3,93,haptenylated,V;V.PTCP;PST
3,94,perifornical,ADJ
3,95,hepatogastric,ADJ
3,96,underwater,ADJ
3,97,Bentley,N;SG
3,98,diauxie,N;SG
3,99,phototropism,N;SG
3,100,sunlessness,N;SG
3,101,dignitary,ADJ
3,102,subjectivized,V;V.PTCP;PST
3,103,scatheless,ADJ
3,104,jacking,N;SG
3,105,arkosic,ADJ
3,106,slushflow,N;SG
3,107,sursize,N;SG
3,108,lobscousers,N;PL
3,109,factorized,V;V.PTCP;PST
3,110,oxytone,ADJ
3,111,orchidometry,N;SG
3,112,microinsults,N;PL
3,113,rehabilitated,V;PST
3,114,transfontanellar,ADJ
3,115,statechart,N;SG
3,116,swirliest,ADJ;SPRL
3,117,intort,V;NFIN;IMP+SBJV
3,118,ferryboatman,N;SG
3,119,aeruginosins,N;PL
3,120,nonalive,ADJ
3,121,doubletree,N;SG
3,122,nitrol,N;SG
3,123,assumpt,N;SG
3,124,symmetrical,ADJ
3,125,backwings,V;PRS;3;SG
3,126,pengest,ADJ;SPRL
3,127,e-sales,N;SG
3,128,personable,ADJ
3,129,synthesist,N;SG
3,130,installed,V;PST
3,131,impinguate,V;NFIN;IMP+SBJV
3,132,chow-chow,N;SG
3,133,shmuk,N;SG
3,134,unsufficience,N;SG
3,135,slamatans,N;PL
3,136,anti-European,ADJ
3,137,turnrounds,N;PL
3,138,paravalvular,ADJ
3,139,bangsome,ADJ
3,140,smartassed,ADJ
3,141,abdominal,ADJ
3,142,greige,ADJ
3,143,mistouches,V;PRS;3;SG
3,144,talc,V;NFIN;IMP+SBJV
3,145,nooks,V;PRS;3;SG
3,146,outrunning,V;V.PTCP;PRS
3,147,delocalised,V;V.PTCP;PST
3,148,retrotransfers,V;PRS;3;SG
3,149,facebrick,N;SG
3,150,packed,V;V.PTCP;PST
