sample_id,id,inflected_form,tag
1,1,pronormoblasts,N|PL
1,2,orocephalic,ADJ
1,3,mozy,V;NFIN;IMP+SBJV
1,4,photoluminesce,V;NFIN;IMP+SBJV
1,5,hypnums,N|PL
1,6,rosters,V|PRS;3;SG
1,7,detritophage,N;SG
1,8,colouristic,ADJ
1,9,hem,V;NFIN;IMP+SBJV
1,10,brachycerid,N;SG
1,11,bemeet,V;NFIN;IMP+SBJV
1,12,dehusk,V;NFIN;IMP+SBJV
1,13,cristids,N|PL
1,14,hyperalbuminurias,N|PL
1,15,codrive,V;NFIN;IMP+SBJV
1,16,eGovernment,N;SG
1,17,lamajun,N;SG
1,18,grouting,N;SG
1,19,euroskeptic,ADJ
1,20,yearly,ADJ
1,21,debased,V|V.PTCP;PST
1,22,resinographic,ADJ
1,23,diphtheritis,N;SG
1,24,aggro,V;NFIN;IMP+SBJV
1,25,spooniest,ADJ|SPRL
1,26,epiossification,N;SG
1,27," softly""",comparable
1,28,dumous,ADJ
1,29,glossoepiglottic,ADJ
1,30,degafiated,V|V.PTCP;PST
1,31,pash,V;NFIN;IMP+SBJV
1,32,timelining,V|V.PTCP;PRS
1,33,rerandomised,V|V.PTCP;PST
1,34,lineny,ADJ
1,35,grannyish,ADJ
1,36,spilled,V|V.PTCP;PST
1,37,high-grade,ADJ
1,38,alcoholytic,ADJ
1,39,flippancy,N;SG
1,40,zested,V|PST
1,41,diformate,N;SG
1,42,terminable,ADJ
1,43,kouros,N;SG
1,44,simpled,V|PST
1,45,thriftster,N;SG
1,46,ruitenbergite,N;SG
1,47,jeopardises,V|PRS;3;SG
1,48,untreatable,N;SG
1,49,rereform,N;SG
1,50,despotocratic,ADJ
1,51,hired,V|PST
1,52,cut-rate,ADJ
1,53,occipitoatlantal,ADJ
1,54,symphoric,ADJ
1,55,neoepitopic,ADJ
1,56,Fredo,N;SG
1,57,foilable,ADJ
1,58,shammying,V|V.PTCP;PRS
1,59,pseudonormalised,V|PST
1,60,partridge-wood,N;SG
1,61,octasyllabic,ADJ
1,62,texturized,V|PST
1,63,sutras,N|PL
1,64,remigrates,V|PRS;3;SG
1,65,chitter,V;NFIN;IMP+SBJV
1,66,scumballs,N|PL
1,67,yolkless,ADJ
1,68,autoparasitoid,N;SG
1,69,gemoots,N|PL
1,70,dereligionizing,V|V.PTCP;PRS
1,71,selenographic,ADJ
1,72,thalline,ADJ
1,73,conjuncts,N|PL
1,74," softly""","""|"
1,75,pattened,ADJ
1,76,broding,V|V.PTCP;PRS
1,77,resubdues,V|PRS;3;SG
1,78,unparallelizable,ADJ
1,79,catholical,ADJ
1,80,unaugmentable,ADJ
1,81,tubelight,N;SG
1,82,blacktips,N|PL
1,83,colloqued,V|PST
1,84,nonactivated,ADJ
1,85,lace,N;SG
1,86,blirted,V|PST
1,87,blaggers,N|PL
1,88,salmonish,ADJ
1,89,skived,V|V.PTCP;PST
1,90,residualised,V|V.PTCP;PST
1,91,unproblematized,ADJ
1,92,oligoglucoside,N;SG
2,1,vestured,V|PST
2,2,glutamic,ADJ
2,3,astrogeny,N;SG
2,4,bathyorographic,ADJ
2,5,myostatic,ADJ
2,6,recarnifying,V|V.PTCP;PRS
2,7,homeless,ADJ
2,8,endomucin,N;SG
2,9,vining,N;SG
2,10,myofascial,ADJ
2,11,revenant,ADJ
2,12," softly""",comparable
2,13,protonic,ADJ
2,14,broskies,N|PL
2,15,untoppable,ADJ
2,16,suberic,ADJ
2,17,Ithakan,ADJ
2,18,quasidistributions,N|PL
2,19,grig,V;NFIN;IMP+SBJV
2,20,untamed,V|V.PTCP;PST
2,21,begonias,N|PL
2,22,reesterified,V|V.PTCP;PST
2,23,blinginess,N;SG
2,24,oligotrimers,N|PL
2,25,rest,V;NFIN;IMP+SBJV
2,26,rhykenologist,N;SG
2,27,cross-fertilisation,N;SG
2,28,martellato,ADJ
2,29,lulziest,ADJ|SPRL
2,30,toraces,V|PRS;3;SG
2,31,sautéed,V|PST
2,32,cybergames,N|PL
2,33,caving,V|V.PTCP;PRS
2,34,comprimarios,N|PL
2,35,dominators,N|PL
2,36,snashed,V|PST
2,37,redundance,N;SG
2,38,padless,ADJ
2,39,sympotic,ADJ
2,40,wavepulse,N;SG
2,41,unassuming,ADJ
2,42,canoodles,V|PRS;3;SG
2,43,ormolued,V|V.PTCP;PST
2,44,multiparasitic,ADJ
2,45,tracheophone,ADJ
2,46,creepifying,V|V.PTCP;PRS
2,47,vasodilative,ADJ
2,48,dildoed,V|V.PTCP;PST
2,49,meare,N;SG
2,50,kludges,N|PL
2,51,playfighting,V|V.PTCP;PRS
2,52,camelize,V;NFIN;IMP+SBJV
2,53,CLV,N;SG
2,54,periglomerular,ADJ
2,55,inceptional,ADJ
2,56,nonocclusive,ADJ
2,57,debranchers,N|PL
2,58,reeked,V|V.PTCP;PST
2,59,aucupated,V|PST
2,60,antiadultery,ADJ
2,61,telepublish,V;NFIN;IMP+SBJV
2,62,pyridos,N|PL
2,63,acquittances,V|PRS;3;SG
2,64,philomene,N;SG
2,65,tonguey,ADJ
2,66,fingerfuck,V;NFIN;IMP+SBJV
2,67,pokelogans,N|PL
2,68,gavelman,N;SG
2,69,macrosporocyte,N;SG
2,70,capsized,V|V.PTCP;PST
2,71,fidgety,ADJ
2,72,pmbl.,N;SG
2,73,mistranslates,V|PRS;3;SG
2,74,apophenia,N;SG
2,75,electrofuse,V;NFIN;IMP+SBJV
2,76,creviced,V|PST
2,77,ethnoscientific,ADJ
2,78,exstant,ADJ
2,79,fraternalised,V|V.PTCP;PST
2,80," softly""","""|"
2,81,unfactored,ADJ
2,82,Islamopologist,N;SG
2,83,manhandling,V|V.PTCP;PRS
2,84,reincorporate,V;NFIN;IMP+SBJV
2,85,poofed,V|V.PTCP;PST
2,86,polyisotopic,ADJ
2,87,unbombable,ADJ
2,88,stichtites,N|PL
2,89,nondenticulate,ADJ
2,90,nonusage,N;SG
2,91,lashkar,N;SG
2,92,binarised,V|V.PTCP;PST
3,1,pedantocracy,N;SG
3,2,cliffhung,V;PST
3,3,ultracasual,ADJ
3,4,reknot,V;NFIN;IMP+SBJV
3,5,tarings,N|PL
3,6,skuttle,N;SG
3,7,scintiscans,V|PRS;3;SG
3,8,curriculum,N;SG
3,9,sawn-off,N;SG
3,10," softly""","""|"
3,11,transparentizes,V|PRS;3;SG
3,12,pancytopenic,ADJ
3,13,vulvo-uterine,ADJ
3,14,butlering,V|V.PTCP;PRS
3,15,misinvoicing,V|V.PTCP;PRS
3,16,velarizes,V|PRS;3;SG
3,17,amyous,ADJ
3,18,cupreous,ADJ
3,19,cleeked,V|PST
3,20,greenings,N|PL
3,21,behung,ADJ
3,22,resinizes,V|PRS;3;SG
3,23,chaptalising,V|V.PTCP;PRS
3,24,lymphomatous,ADJ
3,25,nuzzled,V|V.PTCP;PST
3,26,think,V;NFIN;IMP+SBJV
3,27,forties,ADJ
3,28,AC,ADJ
3,29,chopette,N;SG
3,30,leucosiids,N|PL
3,31,floppyful,N;SG
3,32,dickings,N|PL
3,33,smacked,V|V.PTCP;PST
3,34,rhopalial,ADJ
3,35," softly""",comparable
3,36,clothes-bag,N;SG
3,37,Chopinian,ADJ
3,38,scrimp,V;NFIN;IMP+SBJV
3,39,nonprivate,ADJ
3,40,octopussed,V|PST
3,41,interfoliating,V|V.PTCP;PRS
3,42,digimatic,ADJ
3,43,thermoretractable,ADJ
3,44,angiocath,N;SG
3,45,disoccluded,V|V.PTCP;PST
3,46,hydroflasks,N|PL
3,47,buffs,V|PRS;3;SG
3,48,resterilization,N;SG
3,49,supratentorial,ADJ
3,50,cloacins,N|PL
3,51,integrative,ADJ
3,52,antihorizons,N|PL
3,53,pregenitality,N;SG
3,54,upseeks,V|PRS;3;SG
3,55,mepivacaine,N;SG
3,56,nonstructural,ADJ
3,57,eluders,N|PL
3,58,chalconatronite,N;SG
3,59,unprofited,ADJ
3,60,minitractors,N|PL
3,61,multangulars,N|PL
3,62,hyposalinity,N;SG
3,63,anatomism,N;SG
3,64,cisgendered,N;SG
3,65,alkylphenolic,ADJ
3,66,tanalise,V;NFIN;IMP+SBJV
3,67,thurl,V;NFIN;IMP+SBJV
3,68,Netherlands,ADJ
3,69,conrotary,ADJ
3,70,peripheral,ADJ
3,71,meltrin,N;SG
3,72,heathenization,N;SG
3,73,function,V;NFIN;IMP+SBJV
3,74,biosynthesising,V|V.PTCP;PRS
3,75,pentacationic,ADJ
3,76,subnanogram,ADJ
3,77,jatrophic,ADJ
3,78,segmentating,V|V.PTCP;PRS
3,79,achromatise,V;NFIN;IMP+SBJV
3,80,fasciculating,ADJ
3,81,self-efficacy,N;SG
3,82,zooflagellate,N;SG
3,83,inexact,ADJ
3,84,unassertable,ADJ
3,85,furtakers,N|PL
3,86,thermophysiological,ADJ
3,87,dendrodating,V|V.PTCP;PRS
